Provincias;Españoles/Extranjeros;Sexo;Edad (año a año);Año;Total
03 Alicante/Alacant;TOTAL;Hombres;71 años;2019;9.380
03 Alicante/Alacant;TOTAL;Hombres;72 años;2019;8.835
03 Alicante/Alacant;TOTAL;Hombres;73 años;2019;8.434
03 Alicante/Alacant;TOTAL;Hombres;74 años;2019;8.327
03 Alicante/Alacant;TOTAL;Hombres;75 años;2019;7.713
03 Alicante/Alacant;TOTAL;Hombres;76 años;2019;6.553
03 Alicante/Alacant;TOTAL;Hombres;77 años;2019;5.938
03 Alicante/Alacant;TOTAL;Hombres;78 años;2019;7.274
03 Alicante/Alacant;TOTAL;Hombres;79 años;2019;4.547
03 Alicante/Alacant;TOTAL;Hombres;80 años;2019;5.175
03 Alicante/Alacant;TOTAL;Hombres;81 años;2019;4.819
03 Alicante/Alacant;TOTAL;Hombres;82 años;2019;4.274
03 Alicante/Alacant;TOTAL;Hombres;83 años;2019;4.109
03 Alicante/Alacant;TOTAL;Hombres;84 años;2019;3.681
03 Alicante/Alacant;TOTAL;Hombres;85 años;2019;3.379
03 Alicante/Alacant;TOTAL;Hombres;86 años;2019;2.853
03 Alicante/Alacant;TOTAL;Hombres;87 años;2019;2.443
03 Alicante/Alacant;TOTAL;Hombres;88 años;2019;2.106
03 Alicante/Alacant;TOTAL;Hombres;89 años;2019;1.648
03 Alicante/Alacant;TOTAL;Hombres;90 años;2019;1.308
03 Alicante/Alacant;TOTAL;Hombres;91 años;2019;931
03 Alicante/Alacant;TOTAL;Hombres;92 años;2019;812
03 Alicante/Alacant;TOTAL;Hombres;93 años;2019;572
03 Alicante/Alacant;TOTAL;Hombres;94 años;2019;429
03 Alicante/Alacant;TOTAL;Hombres;95 años;2019;265
03 Alicante/Alacant;TOTAL;Hombres;96 años;2019;186
03 Alicante/Alacant;TOTAL;Hombres;97 años;2019;133
03 Alicante/Alacant;TOTAL;Hombres;98 años;2019;85
03 Alicante/Alacant;TOTAL;Hombres;99 años;2019;60
03 Alicante/Alacant;TOTAL;Hombres;100 años y más;2019;117
04 Almería;TOTAL;Hombres;0 años;2019;3.639
04 Almería;TOTAL;Hombres;1 año;2019;3.813
04 Almería;TOTAL;Hombres;2 años;2019;3.986
04 Almería;TOTAL;Hombres;3 años;2019;4.165
04 Almería;TOTAL;Hombres;4 años;2019;4.170
04 Almería;TOTAL;Hombres;5 años;2019;4.085
04 Almería;TOTAL;Hombres;6 años;2019;4.172
04 Almería;TOTAL;Hombres;7 años;2019;4.239
04 Almería;TOTAL;Hombres;8 años;2019;4.322
04 Almería;TOTAL;Hombres;9 años;2019;4.367
04 Almería;TOTAL;Hombres;10 años;2019;4.615
04 Almería;TOTAL;Hombres;11 años;2019;4.293
04 Almería;TOTAL;Hombres;12 años;2019;4.306
04 Almería;TOTAL;Hombres;13 años;2019;4.186
04 Almería;TOTAL;Hombres;14 años;2019;4.078
04 Almería;TOTAL;Hombres;15 años;2019;3.931
